CH	TITLE	URL
The Rink (1916) Chaplin	The Rink (1916) Chaplin	https://archive.org/download/TheRink1916CharlieChaplinSkating.WithEdnaPurvianceEricCampbell/The%20Rink%20%281916%29%20Charlie%20Chaplin%20skating.%20With%20Edna%20Purviance%2C%20Eric%20Campbell.mp4
The Immigrant (1917) Chaplin	The Immigrant (1917) Chaplin	https://archive.org/download/charliechaplintheimmigrant1917hd_201908/Charlie%20Chaplin-The%20Immigrant%20%281917%29%20HD.mp4
Easy Street (1917) Chaplin	Easy Street (1917) Chaplin	https://archive.org/download/easy-street-1917-directed-by-charlie-chaplin/Easy%20Street%20%281917%29%20Directed%20by%20Charlie%20Chaplin.mp4
Cops (1922) Keaton	Cops (1922) Keaton	https://archive.org/download/cops-buster-keaton/Cops%20Buster%20Keaton.mp4
The Scarecrow (1920) Keaton	The Scarecrow (1920) Keaton	https://archive.org/download/buster-keaton-the-scarecrow-1920/Buster%20Keaton-The%20Scarecrow%20%281920%29.mp4
One Week (1920) Keaton	One Week (1920) Keaton	https://archive.org/download/one-week-buster-keaton/One%20Week%20%3D%20buster%20keaton.mp4
Haunted Spooks (1920) Lloyd	Haunted Spooks (1920) Lloyd	https://archive.org/download/HAUNTEDSPOOKSHaroldLloydSilentAHalRoachComedy/HAUNTED%20SPOOKS-Harold%20Lloyd-silent-A%20Hal%20Roach%20Comedy.mp4
Safety Last (1923, segment) Lloyd	Safety Last (1923, segment) Lloyd	https://archive.org/download/safety-last-1923-silent-film-noir-comedy-short/Safety%20Last%20%281923%20Silent%2C%20Film%20noir%2C%20Comedy%2C%20Short%29.mp4
Laurel & Hardy Silent Shorts	01 - Should Married Men Go Home	https://archive.org/download/01-should-married-men-go-home/01%20-%20Should%20Married%20Men%20Go%20Home.mp4
Laurel & Hardy Silent Shorts	02 - Early to Bed	https://archive.org/download/01-should-married-men-go-home/02%20-%20Early%20to%20Bed.mp4
Laurel & Hardy Silent Shorts	03 - Two Tars	https://archive.org/download/01-should-married-men-go-home/03%20-%20Two%20Tars.mp4
Laurel & Hardy Silent Shorts	04 - Habeas Corpus	https://archive.org/download/01-should-married-men-go-home/04%20-%20Habeas%20Corpus.mp4
Laurel & Hardy Silent Shorts	05 - We Faw Down	https://archive.org/download/01-should-married-men-go-home/05%20-%20We%20Faw%20Down.mp4
Laurel & Hardy Silent Shorts	06 - Liberty	https://archive.org/download/01-should-married-men-go-home/06%20-%20Liberty.mp4
Laurel & Hardy Silent Shorts	07 - Wrong Again	https://archive.org/download/01-should-married-men-go-home/07%20-%20Wrong%20Again.mp4
Laurel & Hardy Silent Shorts	08 - That's My Wife	https://archive.org/download/01-should-married-men-go-home/08%20-%20That%27s%20My%20Wife.mp4
Laurel & Hardy Silent Shorts	09 - Big Business	https://archive.org/download/01-should-married-men-go-home/09%20-%20Big%20Business.mp4
Laurel & Hardy Silent Shorts	10 - Double Whoopee	https://archive.org/download/01-should-married-men-go-home/10%20-%20Double%20Whoopee.mp4
Laurel & Hardy Silent Shorts	11 - Bacon Grabbers	https://archive.org/download/01-should-married-men-go-home/11%20-%20Bacon%20Grabbers.mp4
Laurel & Hardy Silent Shorts	12 Angora Love	https://archive.org/download/01-should-married-men-go-home/12%20Angora%20Love.mp4
Dizzy Dishes (1930) Fleischer	Dizzy Dishes (1930) Fleischer	https://archive.org/download/dizzy-dishes-betty-boop-cartoon/Dizzy%20Dishes.mp4
Betty Boop in Crazy Town (1931)	Betty Boop in Crazy Town (1931)	https://archive.org/download/BettyBoopInCrazyTown/BettyBoop-1931-CrazyTown.mp4
Snow White w/ Betty Boop (1933) Cab Calloway	Snow White w/ Betty Boop (1933) Cab Calloway	https://archive.org/download/SnowWhiteWithBettyBoop1933/BettyBoopSnowWhite1933.mp4
Duck and Cover (1952)	Duck and Cover (1952)	https://archive.org/download/duck-and-cover-1952/Duck%20and%20Cover%20%281952%29.mp4
The Story of Menstruation (1946) Disney	The Story of Menstruation (1946) Disney	https://archive.org/download/StoryOfMenstruation1946/StoryOfMenstruation1946.m4v
A Date With Your Family (1950)	A Date With Your Family (1950)	https://archive.org/download/DateWith1950/DateWith1950.mp4
A Word to the Wives (1955)	A Word to the Wives (1955)	https://archive.org/download/a-word-to-the-wives...-1955/A%20Word%20to%20the%20Wives...%20%281955%29.mp4
Reefer Madness (1936)	Reefer Madness (1936)	https://archive.org/download/reefer-madness-1936-by-louis-j.-gasnier/Reefer.Madness.1936.1080p.WEBRip.x264-%5BYTS.AM%5D.mp4
